t,px,py,pz,gp,gr,qx,qy,qz,qw,qnorm,gx,gy,gz,lvx,lvy,lvz,avx,avy,avz,lpx,lpy,lpz,lqw,nav4,nav5,nav6,nav7,nav8,nav9
14.70,74.0165,74.6778,109.5451,0.00,-107.64,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-3.3153,-21.6185,-3.0865,-4.23034,0.51003,-2.88775,74.0165,74.6778,109.5451,0.00000,274.10,193.51,193.51,253.39,346.49,286.61
15.40,66.0011,66.3469,110.1112,9.83,-59.40,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-13.1960,-1.6582,3.2532,-0.82753,-2.00788,-1.10051,66.0011,66.3469,110.1112,0.00000,125.61,305.85,305.85,297.36,234.15,242.64
16.10,62.0906,66.3711,111.6679,20.15,13.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-1.5298,0.2159,1.0684,-0.15209,-0.07091,-0.36127,62.0906,66.3711,111.6679,0.00000,106.78,343.45,343.45,315.41,196.55,224.59
16.80,61.5933,66.4996,111.7969,17.27,22.91,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.1987,-0.3424,-0.8231,0.05266,0.29855,0.14095,61.5933,66.4996,111.7969,0.00000,109.40,350.80,350.80,335.29,189.20,204.71
17.50,61.7991,66.3924,111.5958,18.54,17.02,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.3985,0.1059,0.6766,-0.20409,-0.02000,0.08817,61.7991,66.3924,111.5958,0.00000,113.61,348.61,348.61,335.25,191.39,204.75
18.20,62.3984,66.1910,111.9018,9.21,9.39,0.00000,0.00000,0.00000,0.00000,0.00000,,,,1.5236,-0.7115,0.6598,-0.41859,-0.01033,0.38372,62.3984,66.1910,111.9018,0.00000,111.82,354.52,354.52,346.52,185.48,193.48
18.90,63.2656,66.0545,112.2789,-4.22,-4.22,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0299,0.0160,0.0131,0.03001,-0.00002,-0.02999,63.2656,66.0545,112.2789,0.00000,111.39,2.57,2.57,6.53,177.43,173.47
19.60,62.8590,65.9404,112.1002,1.21,1.21,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-0.2750,0.1804,-0.1210,0.03239,-0.00000,-0.03230,62.8590,65.9404,112.1002,0.00000,111.28,359.26,359.26,358.10,180.74,181.90
20.30,63.0214,65.9063,112.1718,-0.85,-0.85,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-0.3568,-0.2399,-0.1611,0.13654,-0.00006,-0.13707,63.0214,65.9063,112.1718,0.00000,111.28,0.52,0.52,1.35,179.48,178.65
21.00,62.9683,65.8714,112.1483,-0.01,-0.01,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-0.0028,-0.0015,-0.0014,0.00000,0.00000,0.00000,62.9683,65.8714,112.1483,0.00000,111.27,0.01,0.01,0.01,179.99,179.99
21.70,62.9678,65.8712,112.1481,0.00,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00021,-0.00160,0.00024,62.9678,65.8712,112.1481,0.00000,111.27,0.00,0.00,360.00,180.00,180.00
